No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
140.0,38705.0,52.5528286,-1.4642326,34.888000000000005,308.11400000000003,97.02,-0.11,0.1,47.59998,37.02,35.47,36.73,34.50999,-22.0,36.15,0.07956004,-0.36006,0.0,3.0,3.0,2144.0,78.0,0.0,0.04000854,0.0,14.4,6.75,27.5
140.0,38705.1,52.5528344,-1.4642437,35.629,310.463,97.02,-0.11,0.1,38.79999,37.42,35.61,37.099990000000005,34.95,-20.79999,36.41,0.07956004,-0.3396599,0.0,3.0,3.0,2155.0,78.0,0.0,0.04000854,0.0,14.4,6.75,27.5
140.0,38705.2,52.5528406,-1.4642546,36.126,312.62,97.0,-0.11,0.1,27.5,37.73,36.25999,37.52,35.53999,-19.39999,36.85,0.08976007,-0.29988,0.0,3.0,3.0,2162.0,78.0,0.0,0.04000854,0.0,14.4,6.75,27.5
140.0,38705.3,52.552847,-1.4642652,36.342,314.176,96.99,-0.11,0.1,15.0,38.12999,36.72,37.92999,36.23999,-16.89999,37.25,0.08976007,-0.2397001,0.0,3.0,3.0,2186.0,78.0,0.0,0.04000854,0.0,14.4,6.75,27.5
140.0,38705.4,52.552853600000006,-1.4642756,36.788,316.448,96.99,-0.1,0.1,0.0,38.39,37.17,38.17999,36.8,-13.89999,37.71,0.09995985,-0.1693201,0.0,3.0,3.0,2208.0,78.0,0.0,0.7599792,0.0,14.4,6.75,27.5
140.0,38705.5,52.5528606,-1.4642859,37.447,317.815,96.98,-0.1,0.1,0.0,38.61,37.81999,38.62,37.53,-10.29999,38.1,0.1091398999999999,-0.07956004,0.0,3.0,3.0,2210.0,78.0,0.0,0.04000854,0.0,14.3,6.75,27.5
140.0,38705.6,52.5528678,-1.4642961,37.894,318.851,96.98,-0.09,0.1,0.0,39.03999,38.44,38.84,38.37,-6.199982,38.63,0.1091398999999999,0.009180069,0.0,3.0,3.0,2211.0,78.0,0.0,-0.1900024,0.0,14.4,6.75,27.5
140.0,38705.7,52.5528751,-1.4643062,38.286,319.66,96.98,-0.08,0.1,0.0,39.3,39.209990000000005,39.14,38.8,-2.799988,39.11,0.1091398999999999,0.06936002,0.0,3.0,3.0,2240.0,78.0,0.0,-0.1900024,0.0,14.3,6.75,28.0
140.0,38705.8,52.5528824,-1.4643165,38.635,319.58,96.98,-0.08,0.1,0.0,39.64999,39.53,39.5,39.25,-0.6999816999999999,39.47,0.1193398999999999,0.05915999,0.0,3.0,3.0,2263.0,78.0,0.0,-0.1900024,0.0,14.4,6.75,28.0
140.0,38705.9,52.5528899,-1.4643267999999998,39.064,319.508,96.99,-0.06,0.1,0.0,40.08,39.98999,39.87,39.849990000000005,-0.3999939,39.96,0.12954,0.06936002,0.0,3.0,3.0,2290.0,78.0,0.0,-0.1900024,0.0,14.4,6.75,28.0
140.0,38706.0,52.5528975,-1.4643374999999998,39.913,319.509,96.98,-0.06,0.1,0.0,40.33,40.5,40.28999,40.39999,1.399994,40.33,0.1193398999999999,0.1091398999999999,0.0,3.0,3.0,2294.0,78.0,0.0,0.04000854,0.0,14.4,6.75,28.0
140.0,38706.1,52.5529051,-1.4643482,40.072,319.269,97.0,-0.03,0.1,0.0,40.81,40.959990000000005,40.45,41.03,3.800018,40.74,0.1193398999999999,0.16014,0.0,3.0,3.0,2321.0,78.0,0.0,-0.1900024,0.0,14.3,6.75,28.5
140.0,38706.2,52.5529128,-1.4643590999999998,40.568000000000005,318.935,96.99,-0.04,0.1,0.0,41.06999,41.62999,40.849990000000005,41.23999,5.600006,41.21,0.1091398999999999,0.1999198999999999,0.0,3.0,3.0,2351.0,78.0,0.0,0.04000854,0.0,14.3,6.75,29.0
140.0,38706.3,52.552920500000006,-1.4643703,41.206,318.316,96.98,-0.05,0.1,0.0,41.55,41.959990000000005,41.37999,41.81999,7.200011999999999,41.65,0.1091398999999999,0.1999198999999999,0.0,3.0,3.0,2371.0,78.0,0.0,-0.1900024,0.0,14.3,6.75,29.0
140.0,38706.4,52.5529281,-1.4643817999999995,41.476000000000006,317.578,96.99,-0.03,0.1,0.0,41.98999,42.55,41.53,42.45,7.700011999999999,42.06,0.1091398999999999,0.2101199999999999,0.0,3.0,3.0,2400.0,78.0,0.0,-0.1900024,0.0,14.3,6.75,29.0
140.0,38706.5,52.552935700000006,-1.4643936000000002,41.89,316.63,96.97,-0.06,0.1,0.0,42.25999,43.19,42.02,42.81999,8.399994,42.52,0.1091398999999999,0.1693199,0.0,3.0,3.0,2427.0,78.0,0.0,0.04000854,0.0,14.4,6.75,29.0
140.0,38706.6,52.5529433,-1.4644056,42.239,316.23900000000003,96.97,-0.05,0.1,0.0,42.78,43.3,42.41,43.19,8.700012,43.06,0.1091398999999999,0.1897199,0.0,3.0,3.0,2457.0,78.0,0.0,0.04000854,0.0,14.3,6.75,29.5
140.0,38706.7,52.552951,-1.464418,43.027,315.182,96.94,-0.08,0.1,0.0,43.36,43.959990000000005,43.06,43.77,8.600006,43.54,0.1193398999999999,0.1693199,0.0,3.0,3.0,2476.0,78.0,0.0,-0.1900024,0.0,14.3,6.75,30.0
140.0,38706.8,52.5529584,-1.4644306,43.006,314.293,96.96,-0.06,0.1,0.0,43.87999,44.64999,43.53,44.16,8.800018,44.16,0.1193398999999999,0.2101199999999999,0.0,3.0,3.0,2526.0,78.0,0.0,-0.1900024,0.0,14.4,6.75,30.0
140.0,38706.9,52.5529659,-1.4644435,43.481,313.634,96.93,-0.08,0.1,0.0,44.31999,44.84,43.69,44.56999,9.800018,44.53,0.1193398999999999,0.2101199999999999,0.0,3.0,3.0,2533.0,78.0,0.0,-0.1900024,0.0,14.4,6.75,30.5
140.0,38707.0,52.5529735,-1.4644568999999998,44.406000000000006,312.867,96.93,-0.08,0.1,0.0,44.87999,45.47,44.39,45.55,10.0,44.98,0.1193398999999999,0.2295001,0.0,3.0,3.0,2561.0,79.0,0.0,0.04000854,0.0,14.4,6.75,31.0
140.0,38707.1,52.5529809,-1.4644705000000002,44.611,311.791,96.92,-0.07,0.1,0.0,45.2,46.03999,44.78,45.72,10.0,45.54,0.1193398999999999,0.2193,0.0,3.0,3.0,2591.0,79.0,0.0,-0.1900024,0.0,14.4,6.75,31.5
140.0,38707.2,52.5529883,-1.4644845,45.245,310.922,96.89,-0.11,0.1,0.0,45.81,46.44,45.459990000000005,46.37999,9.899994,45.96,0.12954,0.2193,0.0,3.0,3.0,2620.0,79.0,0.0,-0.1900024,0.0,14.3,6.75,31.5
140.0,38707.3,52.5529956,-1.4644989,45.677,309.696,96.88,-0.11,0.1,0.0,46.31,46.89,45.87999,46.849990000000005,9.200012,46.49,0.1193398999999999,0.1999198999999999,0.0,3.0,3.0,2647.0,79.0,0.0,0.04000854,0.0,14.4,6.75,31.5
140.0,38707.4,52.5530028,-1.4645136,46.03,308.837,96.86,-0.12,0.1,0.0,46.75999,47.459990000000005,46.349990000000005,47.12,8.600006,47.02,0.1193398999999999,0.1795198999999999,0.0,3.0,3.0,2668.0,79.0,0.0,0.04000854,0.0,14.4,6.75,32.0
